Staff_ID,Staff_FName,Staff_LName,Dept,Email,Role
150232,John,Loh,Ops,John.Loh@allinone.com.sg,User
150233,Jack,Tan,Ops,Jack.Tan@allinone.com.sg,User
150238,Derek,Tan,Ops,Derek.Tan@allinone.com.sg,User
150245,Benjamin,Tan,Ops,Benjamin.Tan@allinone.com.sg,User
150258,Daniel,Heng,Ops,Daniel.Heng@allinone.com.sg,User
150265,Jaclyn,Tong,Ops,Jaclyn.Tong@allinone.com.sg,User
150275,Mary,Fu,Ops,Mary.Fu@allinone.com.sg,User
150276,Oliva,Loh,Ops,Oliva.Loh@allinone.com.sg,User
150282,Jacob,Wong,Ops,Jacob.Wong@allinone.com.sg,User
150283,Logan,Ong,Ops,Logan.Ong@allinone.com.sg,User
150288,Jackson,Yong,Ops,Jackson.Yong@allinone.com.sg,User
150295,Aiden,Toh,Ops,Aiden.Toh@allinone.com.sg,User
150318,Emma,Tan,Ops,Emma.Tan@allinone.com.sg,User
150342,Charlotte,Tan,Ops,Charlotte.Tan@allinone.com.sg,User
150343,Amelia,Tan,Ops,Amelia.Tan@allinone.com.sg,User
150345,William,Heng,Ops,William.Heng@allinone.com.sg,User
150348,Eva,Goh,Ops,Eva.Goh@allinone.com.sg,User
150355,Sophia,Chan,Ops,Sophia.Chan@allinone.com.sg,User
150356,James,Wong,Ops,James.Wong@allinone.com.sg,User
150398,John,Ong,Ops,John.Ong@allinone.com.sg,User
150422,Jack,Yong,Ops,Jack.Yong@allinone.com.sg,User
150423,Derek,Toh,Ops,Derek.Toh@allinone.com.sg,User
150428,Benjamin,The,Ops,Benjamin.The@allinone.com.sg,User
150435,Lucas,Ng,Ops,Lucas.Ng@allinone.com.sg,User
150445,Ethan,Loh,Ops,Ethan.Loh@allinone.com.sg,User
150446,Daniel,Tan,Ops,Daniel.Tan@allinone.com.sg,User
150488,Jacob,Tan,Ops,Jacob.Tan@allinone.com.sg,User
150512,Logan,Tan,Ops,Logan.Tan@allinone.com.sg,User
150513,Jackson,Goh,Ops,Jackson.Goh@allinone.com.sg,User
150518,Aiden,Chan,Ops,Aiden.Chan@allinone.com.sg,User
150525,Samuel,Teo,Ops,Samuel.Teo@allinone.com.sg,User
150555,Jaclyn,Wong,Ops,Jaclyn.Wong@allinone.com.sg,User
150565,Benjamin,Ong,Ops,Benjamin.Ong@allinone.com.sg,User
150566,Oliva,Ong,Ops,Oliva.Ong@allinone.com.sg,User
150585,Samuel,Tan,Ops,Samuel.Tan@allinone.com.sg,User
150608,Emma,Yong,Ops,Emma.Yong@allinone.com.sg,User
150615,Sophia,Toh,Ops,Sophia.Toh@allinone.com.sg,User
150632,Charlotte,Toh,Ops,Charlotte.Toh@allinone.com.sg,User
150633,Amelia,The,Ops,Amelia.The@allinone.com.sg,User
150638,Eva,Ng,Ops,Eva.Ng@allinone.com.sg,User
150645,Sophia,Tan,Ops,Sophia.Tan@allinone.com.sg,User
150655,Lucas,Goh,Ops,Lucas.Goh@allinone.com.sg,User
150695,William,Tan,Ops,William.Tan@allinone.com.sg,User
150705,Samuel,The,Ops,Samuel.The@allinone.com.sg,User
150765,Liam,Teo,Ops,Liam.Teo@allinone.com.sg,User
150776,Lucas,Yong,Ops,Lucas.Yong@allinone.com.sg,User
150796,Susan,Goh,Ops,Susan.Goh@allinone.com.sg,User
150826,Liam,The,Ops,Liam.The@allinone.com.sg,User
150845,Henry,Tan,Ops,Henry.Tan@allinone.com.sg,User
150866,Henry,Chan,Ops,Henry.Chan@allinone.com.sg,User
150916,Susan,Ng,Ops,Susan.Ng@allinone.com.sg,User
150918,Henry,Toh,Ops,Henry.Toh@allinone.com.sg,User
150935,Susan,Lee,Ops,Susan.Lee@allinone.com.sg,User
150938,Janice,Chan,Ops,Janice.Chan@allinone.com.sg,User
150968,Noah,Ng,Ops,Noah.Ng@allinone.com.sg,User
150976,Noah,Lee,Ops,Noah.Lee@allinone.com.sg,User
151008,Alexander,Teo,Ops,Alexander.Teo@allinone.com.sg,User
151055,Liam,Fu,Ops,Liam.Fu@allinone.com.sg,User
151056,Alexander,Fu,Ops,Alexander.Fu@allinone.com.sg,User
151058,Janice,Tan,Ops,Janice.Tan@allinone.com.sg,User
151118,Oliver,Lim,Ops,Oliver.Lim@allinone.com.sg,User
151146,Janice,Lim,Ops,Janice.Lim@allinone.com.sg,User
151198,Michael,Tong,Ops,Michael.Tong@allinone.com.sg,User
151266,Noah,Tong,Ops,Noah.Tong@allinone.com.sg,User
151288,Mary,Heng,Ops,Mary.Heng@allinone.com.sg,User
151408,Oliver,Loh,Ops,Oliver.Loh@allinone.com.sg,User
160008,Sally,Loh,HR,Sally.Loh@allinone.com.sg,Admin
160065,John,Tan,HR,John.Tan@allinone.com.sg,Admin
160075,James,Tan,HR,James.Tan@allinone.com.sg,Admin
160076,Jack,Goh,HR,Jack.Goh@allinone.com.sg,Admin
160118,Derek,Chan,HR,Derek.Chan@allinone.com.sg,Admin
160135,Jaclyn,Ong,HR,Jaclyn.Ong@allinone.com.sg,User
160142,Benjamin,Teo,HR,Benjamin.Teo@allinone.com.sg,Admin
160143,Lucas,Lee,HR,Lucas.Lee@allinone.com.sg,Admin
160145,Mary,Wong,HR,Mary.Wong@allinone.com.sg,User
160146,Oliva,Yong,HR,Oliva.Yong@allinone.com.sg,User
160148,Henry,Lim,HR,Henry.Lim@allinone.com.sg,Admin
160155,Alexander,Heng,HR,Alexander.Heng@allinone.com.sg,Admin
160188,Emma,Toh,HR,Emma.Toh@allinone.com.sg,User
160212,Charlotte,The,HR,Charlotte.The@allinone.com.sg,User
160213,Amelia,Ng,HR,Amelia.Ng@allinone.com.sg,User
160218,Eva,Tan,HR,Eva.Tan@allinone.com.sg,User
160225,Sophia,Fu,HR,Sophia.Fu@allinone.com.sg,User
160258,Michael,Tong,HR,Michael.Tong@allinone.com.sg,User
160282,Ethan,Loh,HR,Ethan.Loh@allinone.com.sg,User
170166,David,Yap,Finance,David.Yap@allinone.com.sg,Manager
170208,Daniel,Tan,Finance,Daniel.Tan@allinone.com.sg,User
170215,Mary,Wong,Finance,Mary.Wong@allinone.com.sg,User
170216,Jaclyn,Ong,Finance,Jaclyn.Ong@allinone.com.sg,User
170232,Jacob,Tan,Finance,Jacob.Tan@allinone.com.sg,User
170233,Logan,Goh,Finance,Logan.Goh@allinone.com.sg,User
170238,Jackson,Chan,Finance,Jackson.Chan@allinone.com.sg,User
170245,Aiden,Teo,Finance,Aiden.Teo@allinone.com.sg,User
170655,Samuel,Lee,Finance,Samuel.Lee@allinone.com.sg,User
170866,Susan,Lim,Finance,Susan.Lim@allinone.com.sg,User
171008,Janice,Heng,Finance,Janice.Heng@allinone.com.sg,User
